date,spbmv_vix
14/12/17,13.39
15/12/17,13.39
18/12/17,12.73
19/12/17,12.93
20/12/17,12.93
21/12/17,13.01
22/12/17,13.07
26/12/17,13.25
27/12/17,13.21
28/12/17,12.89
29/12/17,12.72
02/01/18,12.59
03/01/18,13
04/01/18,12.71
05/01/18,12.73
08/01/18,12.85
09/01/18,13.55
10/01/18,13.97
11/01/18,13.67
12/01/18,13.43
15/01/18,13.41
16/01/18,13.15
17/01/18,13.29
18/01/18,12.98
19/01/18,13.17
22/01/18,13.04
23/01/18,13.04
24/01/18,12.81
25/01/18,12.72
26/01/18,12.47
29/01/18,13.17
30/01/18,13.34
31/01/18,13.23
01/02/18,12.99
02/02/18,13.09
06/02/18,13.82
07/02/18,18.71
08/02/18,19.41
09/02/18,20.96
12/02/18,20.17
13/02/18,20.46
14/02/18,20.01
15/02/18,17.93
16/02/18,18.09
19/02/18,16.51
20/02/18,16.76
21/02/18,16.92
22/02/18,16.41
23/02/18,16.63
26/02/18,16.27
27/02/18,16.63
28/02/18,16.65
01/03/18,16.57
02/03/18,16.43
05/03/18,16.28
06/03/18,15.51
07/03/18,16.14
08/03/18,16.08
09/03/18,15.55
12/03/18,15.17
13/03/18,15.2
14/03/18,15.46
15/03/18,15.79
16/03/18,16
20/03/18,16.33
21/03/18,16.43
22/03/18,16.39
23/03/18,16.82
26/03/18,16.23
27/03/18,16.31
28/03/18,17.23
02/04/18,17.46
03/04/18,16.89
04/04/18,16.31
05/04/18,16.02
06/04/18,16.03
09/04/18,16.22
10/04/18,15.94
11/04/18,16.24
12/04/18,15.78
13/04/18,15.79
16/04/18,16.12
17/04/18,15.89
18/04/18,16.08
19/04/18,16.15
20/04/18,16.06
23/04/18,15.74
24/04/18,16.08
25/04/18,16.1
26/04/18,15.94
27/04/18,15.93
30/04/18,15.91
02/05/18,17.25
03/05/18,17.33
04/05/18,17.6
07/05/18,17.09
08/05/18,17.98
09/05/18,17.56
10/05/18,16.94
11/05/18,16.76
14/05/18,22.89
15/05/18,22.68
16/05/18,17.71
17/05/18,17.66
18/05/18,18.83
21/05/18,18.03
22/05/18,18.27
23/05/18,17.8
24/05/18,17.83
25/05/18,18.3
28/05/18,18.13
29/05/18,18.3
30/05/18,18.32
31/05/18,18.14
01/06/18,17.86
04/06/18,17.75
05/06/18,18.32
06/06/18,18.25
07/06/18,17.94
08/06/18,17.61
11/06/18,17.35
12/06/18,16.84
13/06/18,16.8
14/06/18,16.4
15/06/18,16.54
18/06/18,16.51
19/06/18,16.59
20/06/18,16.31
21/06/18,16.64
22/06/18,16.29
25/06/18,16.33
26/06/18,15.98
27/06/18,16.1
28/06/18,16.05
29/06/18,15.72
02/07/18,16.46
03/07/18,15.88
04/07/18,15.69
05/07/18,14.97
06/07/18,14.72
09/07/18,15.32
10/07/18,14.29
11/07/18,14.26
12/07/18,14.45
13/07/18,14.33
16/07/18,14.24
17/07/18,14.02
18/07/18,13.75
19/07/18,14.04
20/07/18,13.92
23/07/18,13.94
24/07/18,13.58
25/07/18,13.5
26/07/18,13.57
27/07/18,13.47
30/07/18,13.41
31/07/18,13.58
01/08/18,13.77
02/08/18,14.07
03/08/18,13.89
06/08/18,13.97
07/08/18,13.6
08/08/18,13.62
09/08/18,14.1
10/08/18,14.54
13/08/18,14.21
14/08/18,14.06
15/08/18,14.7
16/08/18,15.1
17/08/18,14.93
20/08/18,14.54
21/08/18,14.22
22/08/18,13.87
23/08/18,14.01
24/08/18,14.09
27/08/18,13.57
28/08/18,14.01
29/08/18,13.86
30/08/18,14.5
31/08/18,14.67
03/09/18,14.3
04/09/18,14.45
05/09/18,14.85
06/09/18,15.14
07/09/18,14.56
10/09/18,14.75
11/09/18,14.34
12/09/18,14.59
13/09/18,14.3
14/09/18,14.26
17/09/18,14.55
18/09/18,14.28
19/09/18,14.09
20/09/18,14.32
21/09/18,14.61
24/09/18,14.33
25/09/18,13.9
26/09/18,13.9
27/09/18,13.91
28/09/18,14.6
01/10/18,13.43
02/10/18,13.7
03/10/18,14.13
04/10/18,14.24
05/10/18,14.63
08/10/18,15.19
09/10/18,15.62
10/10/18,15.11
11/10/18,15.49
12/10/18,15.58
15/10/18,15.22
16/10/18,15.18
17/10/18,15.28
18/10/18,16.25
19/10/18,16.14
22/10/18,15.81
23/10/18,16.19
24/10/18,16.96
25/10/18,16.81
26/10/18,16.91
29/10/18,18.45
30/10/18,18.75
31/10/18,18.51
01/11/18,17.3
05/11/18,16.29
06/11/18,16.48
07/11/18,16.63
08/11/18,17.96
09/11/18,18.09
12/11/18,18.49
13/11/18,19.07
14/11/18,22.29
15/11/18,22.88
16/11/18,22.31
20/11/18,22.84
21/11/18,23.16
22/11/18,23.24
23/11/18,23.37
26/11/18,23.76
27/11/18,23.04
28/11/18,22.59
29/11/18,21.13
30/11/18,21.43
03/12/18,20.98
04/12/18,21.22
05/12/18,20.99
06/12/18,20.89
07/12/18,21.15
10/12/18,20.64
11/12/18,21.12
13/12/18,20.88
14/12/18,21.24
17/12/18,21.76
18/12/18,21.4
19/12/18,21.11
20/12/18,15.69
21/12/18,20.97
24/12/18,21.16
26/12/18,20.94
27/12/18,21.2
28/12/18,21.25
31/12/18,21.13
02/01/19,20.94
03/01/19,19.96
04/01/19,19.85
07/01/19,19.72
08/01/19,19.29
09/01/19,19.31
10/01/19,19.28
11/01/19,19.42
14/01/19,18.32
15/01/19,18.11
16/01/19,17.93
17/01/19,18.06
18/01/19,17.85
21/01/19,17.91
22/01/19,17.84
23/01/19,18.22
24/01/19,17.01
25/01/19,16.87
28/01/19,16.96
29/01/19,16.84
30/01/19,16.95
31/01/19,16.86
01/02/19,16.94
05/02/19,16.33
06/02/19,16.39
07/02/19,16.81
08/02/19,16.91
11/02/19,17.05
12/02/19,17.04
13/02/19,17.48
14/02/19,17.14
15/02/19,16.73
18/02/19,16.66
19/02/19,16.74
20/02/19,16.53
21/02/19,16.45
22/02/19,16.38
25/02/19,16.31
26/02/19,16.41
27/02/19,16.38
28/02/19,16.9
01/03/19,17.36
04/03/19,18.04
05/03/19,18.51
06/03/19,19.04
07/03/19,19
08/03/19,18.77
11/03/19,18.58
12/03/19,15.46
13/03/19,15.45
14/03/19,14.63
15/03/19,14.12
19/03/19,14.24
20/03/19,13.97
21/03/19,14.03
22/03/19,14.06
25/03/19,14.24
26/03/19,14.01
27/03/19,14.11
28/03/19,14.04
29/03/19,14.36
01/04/19,14.29
02/04/19,14.65
03/04/19,14.79
04/04/19,14.34
05/04/19,13.79
08/04/19,13.82
09/04/19,13.93
10/04/19,14.16
11/04/19,13.54
12/04/19,13.45
15/04/19,13.82
16/04/19,14.09
17/04/19,13.7
22/04/19,13.74
23/04/19,13.9
24/04/19,13.91
25/04/19,14.24
26/04/19,14.36
29/04/19,14.52
30/04/19,14.55
02/05/19,14.42
03/05/19,14.45
06/05/19,14.64
07/05/19,14.75
08/05/19,14.77
09/05/19,15.01
10/05/19,14.97
13/05/19,14.98
14/05/19,14.42
15/05/19,14.36
16/05/19,14.39
17/05/19,14.09
20/05/19,13.9
21/05/19,13.94
22/05/19,14.26
23/05/19,14.43
24/05/19,14.3
27/05/19,15.35
28/05/19,15.31
29/05/19,15.35
30/05/19,15.1
31/05/19,14.88
03/06/19,14.83
04/06/19,17.18
05/06/19,17.21
06/06/19,17.16
07/06/19,16.86
10/06/19,16.79
11/06/19,17.22
12/06/19,17.24
13/06/19,17.9
