state,date,imaief_cons,imaief_actsec,imaief_manf,imaief_minr,imaief_cons_base,imaief_actsec_base,imaief_manf_base,imaief_minr_base,naim,covid,period,time_to_treat
Chihuahua,2020-10-01,96.95945945945945,98.20700896495518,100.71090047393365,90.7871720116618,88.8,122.7,126.6,171.5,1,1,130,23
Chihuahua,2020-11-01,99.66216216216216,96.90301548492258,100.71090047393365,88.80466472303208,88.8,122.7,126.6,171.5,1,1,131,24
Chihuahua,2020-12-01,99.43693693693693,94.70252648736756,98.02527646129542,86.76384839650146,88.8,122.7,126.6,171.5,1,1,132,25
Chihuahua,2021-01-01,104.72972972972974,100.32599837000815,105.1342812006319,90.49562682215743,88.8,122.7,126.6,171.5,1,1,133,26
Chihuahua,2021-02-01,98.1981981981982,96.08801955990221,100.78988941548184,85.01457725947522,88.8,122.7,126.6,171.5,1,1,134,27
Chihuahua,2021-03-01,97.2972972972973,103.34148329258352,110.66350710900474,84.31486880466473,88.8,122.7,126.6,171.5,1,1,135,28
Chihuahua,2021-04-01,94.81981981981983,100.32599837000815,105.45023696682465,86.53061224489797,88.8,122.7,126.6,171.5,1,1,136,29
Chihuahua,2021-05-01,83.33333333333334,102.200488997555,109.71563981042655,88.5131195335277,88.8,122.7,126.6,171.5,1,1,137,30
Chihuahua,2021-06-01,85.02252252252252,100.24449877750612,105.37124802527646,89.85422740524781,88.8,122.7,126.6,171.5,1,1,138,31
Chihuahua,2021-07-01,82.54504504504504,102.44498777506112,109.71563981042655,87.8134110787172,88.8,122.7,126.6,171.5,1,1,139,32
Chihuahua,2021-08-01,91.44144144144146,102.85248573757131,108.21484992101107,88.62973760932945,88.8,122.7,126.6,171.5,1,1,140,33
Chihuahua,2021-09-01,94.5945945945946,99.83700081499592,103.39652448657188,88.39650145772595,88.8,122.7,126.6,171.5,1,1,141,34
Chihuahua,2021-10-01,86.14864864864865,100.48899755501222,106.87203791469196,90.32069970845481,88.8,122.7,126.6,171.5,1,1,142,35
Chihuahua,2021-11-01,83.22072072072073,95.68052159739202,101.89573459715639,84.8396501457726,88.8,122.7,126.6,171.5,1,1,143,36
