year,countrycode,gdppc,continent,naim
2015,GTM,9.011211237630674,Americas,0
2016,GTM,9.014537926216237,Americas,0
2017,GTM,9.026683941824892,Americas,0
2018,GTM,9.06697037522425,Americas,0
2019,GTM,9.107035244820693,Americas,0
2020,GTM,9.088505760878487,Americas,0
2021,GTM,9.186993771325406,Americas,0
1997,HND,7.796787036741969,Americas,0
1998,HND,7.8147652815072455,Americas,0
1999,HND,7.793359533616619,Americas,0
2000,HND,7.858790420278836,Americas,0
2001,HND,7.88131196989156,Americas,0
2002,HND,7.90770455150098,Americas,0
2003,HND,7.946484308595819,Americas,0
2004,HND,8.008880994437883,Americas,0
2005,HND,8.074621221676605,Americas,0
2006,HND,8.145384923215026,Americas,0
2007,HND,8.2095306096391365,Americas,0
2008,HND,8.248130862575005,Americas,0
2009,HND,8.208847605165595,Americas,0
2010,HND,8.237181923297886,Americas,0
2011,HND,8.275954032261877,Americas,0
2012,HND,8.302161860899831,Americas,0
2013,HND,8.328991610504525,Americas,0
2014,HND,8.40124077711734,Americas,0
2015,HND,8.481233397949637,Americas,0
2016,HND,8.546216924952846,Americas,0
2017,HND,8.623712053526122,Americas,0
2018,HND,8.66837960305734,Americas,0
2019,HND,8.695887314989525,Americas,0
2020,HND,8.597812747620683,Americas,0
2021,HND,8.740747719825464,Americas,0
1997,MEX,9.181467784332082,Americas,0
1998,MEX,9.227849726828953,Americas,0
1999,MEX,9.25424475035734,Americas,0
2000,MEX,9.313753091458842,Americas,0
2001,MEX,9.317940350242065,Americas,0
2002,MEX,9.322550303303297,Americas,0
2003,MEX,9.349084024617007,Americas,0
2004,MEX,9.400215925931041,Americas,0
2005,MEX,9.446016080512608,Americas,0
2006,MEX,9.53335831817621,Americas,0
2007,MEX,9.567820488644319,Americas,0
2008,MEX,9.610780986031935,Americas,0
2009,MEX,9.585184375170407,Americas,0
2010,MEX,9.632663846103448,Americas,0
2011,MEX,9.71234273838597,Americas,0
2012,MEX,9.750506951189864,Americas,0
2013,MEX,9.762724212691582,Americas,0
2014,MEX,9.801277059573703,Americas,0
2015,MEX,9.814738328312375,Americas,0
2016,MEX,9.869085834538964,Americas,0
2017,MEX,9.889452570124673,Americas,0
2018,MEX,9.908283864492017,Americas,1
2019,MEX,9.89659199259557,Americas,1
